,Title,Rating,Genres,Studio,Sources,Status,Type,Synopsis,Episodes,Date,Duration,Img_Url
450,Ginga Eiyuu Densetsu Gaiden (1999),8.08," Action, Drama, Military, Sci-Fi, Space"," Artland, Magic Bus", Novel, Finished Airing, OVA,"Ginga Eiyuu Densetsu Gaiden (1999) is the second of two OVA adaptations of side stories from the Ginga Eiyuu Densetsu novel series. This second adaptation follows the achievements of Yang Wen-li of the Free Planets Alliance before the fateful Battle of Astarte, and continues the tales of Reinhard von Müsel and Siegfried Kircheis of the Galactic Empire.Spiral Labyrinth
Yang is propelled to the spotlight after his famous evacuation of civilians from El Facil. Following an unofficial double promotion and a flurry of media attention, he chronicles his research of the Year 730 Mafia—a close-knit group of Alliance military officers centered around the famed tactician Bruce Ashbey. He investigates a startling claim by Ashbey's deceased widow that may have enormous political ramifications: that the great war hero was not killed in action but murdered.The Mutineer
Reinhard and Kircheis are posted on the destroyer Hameln II, docked at Iserlohn Fortress. After gaining the respect of the crew, Reinhard's leadership is tested when the captain is severely wounded and passes command authority to Reinhard, the next-highest ranking officer on deck.The Duelist
While Reinhard and Kircheis are working in the Imperial capital Odin, Reinhard learns of a mining rights dispute involving Dorothea von Schaffhausen, a friend of his sister Annerose von Grünewald. Upon hearing that Count Herxheimer intends to settle the matter with a duel, Reinhard volunteers to represent the Schaffhausen family.The Retriever
After falling out of favor with the nobility, Count Herxheimer is trying to escape to the Free Planets Alliance with a stolen Seffle particle generator prototype. Reinhard is tasked with retrieving both the prototype and the defector, but is only assigned the cruiser Hässliche Entlein due to the confidential nature of the mission.The Third Battle of Tiamat
To commemorate the 30th year of the reign of Kaiser Friedrich IV, the Empire announces a large-scale military campaign against the Free Planets Alliance. In the ensuing clash between the Imperial expeditionary force and three Alliance fleets, Reinhard's timely intervention shapes the tides of war.[Written by MAL Rewrite]", 28," Dec 24, 1999 to Jul 21, 2000", 26 min. per ep.,https://cdn.myanimelist.net/images/anime/6/9580.jpg
451,Gosick,8.08," Mystery, Historical, Drama, Romance", Bones, Light novel, Finished Airing, TV,"Kazuya Kujou is a foreign student at Saint Marguerite Academy, a luxurious boarding school in the Southern European country of Sauville. Originally from Japan, his jet-black hair and dark brown eyes cause his peers to shun him and give him the nickname ""Black Reaper,"" based on a popular urban legend about the traveler who brings death in the spring.On a day like any other, Kujou visits the school's extravagant library in search of ghost stories. However, his focus soon changes as he becomes curious about a golden strand of hair on the stairs. The steps lead him to a large garden and a beautiful doll-like girl known as Victorique de Blois, whose complex and imaginative foresight allows her to predict their futures, now intertwined.With more mysteries quickly developing—including the appearance of a ghost ship and an alchemist with the power of transmutation—Victorique and Kujou, bound by fate and their unique skills, have no choice but to rely on each other.[Written by MAL Rewrite]", 24," Jan 8, 2011 to Jul 2, 2011", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/11/27906.jpg
452,Haikyuu!! Movie 3: Sainou to Sense,8.08," Comedy, Drama, School, Shounen, Sports", Production I.G, Manga, Finished Airing, Movie,Recap film that will cover the match against Aobajosai High School that took place in the second season.(Source: MAL News), 1," Sep 15, 2017", 1 hr. 29 min.,https://cdn.myanimelist.net/images/anime/3/86069.jpg
453,"Koukyoushihen Eureka Seven
Eureka Seven",8.08," Adventure, Drama, Mecha, Romance, Sci-Fi", Bones, Original, Finished Airing, TV,"In the backwater town of Bellforest lives a 14-year-old boy named Renton Thurston. He desires to leave his home behind and join the mercenary group known as Gekkostate, hoping to find some adventure to brighten up his mundane life. However, stuck between his grandfather's insistence to become a mechanic like him and the pressure of his deceased father's legacy, the only excitement Renton finds is in his pastime of riding the Trapar wave particles that are dispersed throughout the air, an activity akin to surfing.Everything changes when an unknown object crashes through Renton's garage, discovered to be a Light Finding Operation—a robot capable of riding the Trapar waves—specifically known as the Nirvash typeZERO. Its pilot is a young girl named Eureka, a member of the Gekkostate, who requests a tune-up for the Nirvash. Their meeting sparks the beginning of Renton's involvement with the Gekkostate as he takes off alongside Eureka as the co-pilot of the Nirvash.[Written by MAL Rewrite]", 50," Apr 17, 2005 to Apr 2, 2006", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/12/34443.jpg
454,"Mahoutsukai no Yome
The Ancient Magus' Bride",8.08," Slice of Life, Magic, Fantasy, Shounen", Wit Studio, Manga, Finished Airing, TV,"Chise Hatori, a 15-year-old Japanese girl, was sold for five million pounds at an auction to a tall masked gentleman. Abandoned at a young age and ridiculed by her peers for her unconventional behavior, she was ready to give herself to any buyer if it meant having a place to go home to. In chains and on her way to an unknown fate, she hears whispers from robed men along her path, gossiping and complaining that such a buyer got his hands on a rare ""Sleigh Beggy.""Ignoring the murmurs, the mysterious man leads the girl to a study, where he reveals himself to be Elias Ainsworth—a magus. After a brief confrontation and a bit of teleportation magic, the two open their eyes to Elias' picturesque cottage in rural England. Greeted by fairies and surrounded by weird and wonderful beings upon her arrival, these events mark the beginning of Chise's story as the apprentice and supposed bride of the ancient magus.[Written by MAL Rewrite]", 24," Oct 8, 2017 to Mar 25, 2018", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/3/88476.jpg
455,Gintama: Dai Hanseikai,8.07," Action, Comedy, Parody, Samurai", Sunrise, Manga, Finished Airing, Special,"Some of the characters get together and talk about ""regrets"" they have after 4 years of anime Gintama. Soon they fight over who gets more screen time. Special animation shown at the Gintama Haru Matsuri 2010 live event.", 1," Mar 25, 2010", 14 min.,https://cdn.myanimelist.net/images/anime/1725/110927.jpg
456,"Glass no Kamen (2005)
Glass Mask",8.07," Drama, Shoujo", Tokyo Movie Shinsha, Manga, Finished Airing, TV,"Two Girls. One Dream. And the entire world for a stage.At 13 years old, Maya Kitajima seems destined to spend the rest of her life toiling in a crowded restaurant alongside her bitter and unstable mother. But when her incredible acting talent is discovered by the legendary diva Chigusa Tsukikage, Maya finds a new future filled with both golden opportunities and terrifying risks.For Ayumi Himekawa, success has always been assured, yet she longs to be recognized for her own talents and skills, not her famous parents' connections.For both, the ultimate prize is the role of The Crimson Goddess in the play of the same name, a part created by Chigusa. To achieve this goal, both Maya and Ayumi must seek out and conquer every acting challenge, pushing the limits of their talent and endurance to the utmost, until they are worthy of the part…But for one to win, the other must fail!(Source: Sentai Filmworks)", 51," Apr 6, 2005 to Mar 29, 2006", 25 min. per ep.,https://cdn.myanimelist.net/images/anime/1/2043.jpg
457,Initial D Fifth Stage,8.07," Action, Cars, Drama, Seinen, Sports", SynergySP, Manga, Finished Airing, TV,"After earning a series of difficult victories in the prefectures of Tochigi, Saitama, and Ibaraki, the drivers of Project D—an amateur street driving group led by ex-street driver and expert tactician Ryousuke Takahashi—Takumi Fujiwara and Keisuke Takahashi now have to take Project D to the next level: the Kanagawa prefecture, commonly known as the holy land of street racing. Their opponents, members of the three best street racing teams of Kanagawa, design an elaborate strategy called the ""Four Lines of Defense"" to put a definitive end to the ambitions of Project D.Meanwhile, Takumi feels he needs to refine his driving skills to overcome the last victory against Toshiya Joushima that he only just managed to snatch. The moment of truth has now come for Project D, which carries with it the hopes of the Gunma Prefecture; will they manage to thwart the surprising tactics of the skilled street racers of Kanagawa?[Written by MAL Rewrite]", 14," Nov 4, 2012 to May 10, 2013", 27 min. per ep.,https://cdn.myanimelist.net/images/anime/1029/99183.jpg
458,Kill la Kill,8.07," Action, Comedy, Super Power, Ecchi, School", Trigger, Original, Finished Airing, TV,"After the murder of her father, Ryuuko Matoi has been wandering the land in search of his killer. Following her only lead—the missing half of his invention, the Scissor Blade—she arrives at the prestigious Honnouji Academy, a high school unlike any other. The academy is ruled by the imposing and cold-hearted student council president Satsuki Kiryuuin alongside her powerful underlings, the Elite Four. In the school's brutally competitive hierarchy, Satsuki bestows upon those at the top special clothes called ""Goku Uniforms,"" which grant the wearer unique superhuman abilities.Thoroughly beaten in a fight against one of the students in uniform, Ryuuko retreats to her razed home where she stumbles across Senketsu, a rare and sentient ""Kamui,"" or God Clothes. After coming into contact with Ryuuko's blood, Senketsu awakens, latching onto her and providing her with immense power. Now, armed with Senketsu and the Scissor Blade, Ryuuko makes a stand against the Elite Four, hoping to reach Satsuki and uncover the culprit behind her father's murder once and for all.[Written by MAL Rewrite]", 24," Oct 4, 2013 to Mar 28, 2014", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/1464/111943.jpg
459,"Kuroko no Basket Movie 4: Last Game
Kuroko's Basketball the Movie: Last Game",8.07," Sports, School, Shounen", Production I.G, Manga, Finished Airing, Movie,"Hailing from America, Jabberwock—a street basketball team with skills comparable to those of the NBA—has come to Japan to play an exhibition match against Strky, a team of former third-year students who once played in the Interhigh and Winter Cup. However, due to the vast difference in skill, Jabberwock easily wins. Their captain, Nash Gold Jr., mocks the basketball style of all players in Japan by comparing them to monkeys.Infuriated by the nasty comment, Kagetora Aida challenges them to a revenge match. Because of pride and the belief that the results will be no different, Nash accepts the challenge. Kagetora then assembles Vorpal Swords, a team composed of the Generation of Miracles, including Kuroko Tetsuya and Kagami Taiga, for they are the only ones who stand a chance against a foe that seems unbeatable from every angle.[Written by MAL Rewrite]", 1," Mar 18, 2017", 1 hr. 30 min.,https://cdn.myanimelist.net/images/anime/2/83106.jpg
460,Kyou kara Ore wa!!,8.07," Comedy, Shounen", Studio Pierrot, Manga, Finished Airing, OVA,"Two transfer students, Mitsuhashi Takashi and Itou Shinji, tired of their boring normal life and unpopularity decide to take their arrival at a new school as an opportunity to reinvent their image, and become delinquents! Itou's justice clashing with Mitsuhashi's mischievous ways, they initially antagonize one another but soon become fast friends. The delinquent duo set out on various misadventures to become the greatest delinquents in all Japan!", 10," Dec 11, 1992 to Dec 21, 1997", 43 min. per ep.,https://cdn.myanimelist.net/images/anime/1042/110294.jpg
461,"Shokugeki no Souma: San no Sara
Food Wars! The Third Plate",8.07," Ecchi, School, Shounen", J.C.Staff, Manga, Finished Airing, TV,"The Moon Festival is Tootsuki Academy's annual gourmet gala, where students compete against each other to earn the most profit through selling their cuisine of choice. But for Souma Yukihira, it is also his first opportunity to challenge the Elite Ten, the supreme council that rules over the academy.However, this is only the beginning of Souma's war against the Elite Ten; a nefarious plot is underway that will provide Souma with the challenge he desires but will also shake the very foundations of Tootsuki Academy itself.[Written by MAL Rewrite]", 12," Oct 4, 2017 to Dec 20, 2017", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/3/88434.jpg
462,Summer Wars,8.07," Sci-Fi, Comedy", Madhouse, Original, Finished Airing, Movie,"OZ, a virtual world connected to the internet, has become extremely popular worldwide as a spot for people to engage in a large variety of activities, such as playing sports or shopping, through avatars created and customized by the user. OZ also possesses a near impenetrable security due to its strong encryption, ensuring that any personal data transmitted through the networks will be kept safe in order to protect those who use it. Because of its convenient applications, the majority of society has become highly dependent on the simulated reality, even going as far as entrusting the system with bringing back the unmanned asteroid explorer, Arawashi.Kenji Koiso is a 17-year-old math genius and part-time OZ moderator who is invited by his crush Natsuki Shinohara on a summer trip. But unbeknownst to him, this adventure requires him to act as her fiancé. Shortly after arriving at Natsuki's family's estate, which is preparing for her great-grandmother's 90th birthday, he receives a strange, coded message on his cell phone from an unknown sender who challenges him to solve it. Kenji is able to crack the code, but little does he know that his math expertise has just put Earth in great danger.[Written by MAL Rewrite]", 1," Aug 1, 2009", 1 hr. 54 min.,https://cdn.myanimelist.net/images/anime/10/15796.jpg
463,xxxHOLiC Shunmuki,8.07," Mystery, Comedy, Psychological, Supernatural, Drama", Production I.G, Manga, Finished Airing, OVA,"For the appropriate price, your dearest wish can be granted at the shop of the peculiar Yuuko. Kimihiro Watanuki wishes to be rid of his ability to see spirits, and so as payment, he works for Yuuko doing whatever she needs him to do, from cleaning to errands to even helping out Yuuko's other clients. In xxxHOLiC Shunmuki, Watanuki and his friend and rival Shizuka Doumeki enjoy a meal with their friend Kohane Tsuyuri and her grandmother, reminiscing about how they have changed since meeting each other.Later on, Watanuki has a dream in which he is visited by Doumeki's grandfather Haruka, who needs him to find some things in the family temple storeroom. Accompanied by Doumeki, he finds that this task is more akin to a treasure hunt, with each item leading them to another, and another, guiding them to an unexpected yet inevitable ending.[Written by MAL Rewrite]", 2," Feb 17, 2009 to Jun 23, 2009", 26 min. per ep.,https://cdn.myanimelist.net/images/anime/12/25079.jpg
464,Paprika,8.06," Dementia, Fantasy, Horror, Mystery, Psychological, Sci-Fi, Thriller", Madhouse, Novel, Finished Airing, Movie,"The world of dreams can be an incredible window into the psyche, showing one's deepest desires, aspirations, and repressed memories. One hopeful tech lab has been developing the ""DC Mini,"" a device with the power to delve into the dreams of others. Atsuko Chiba and Kosaku Tokita have been tirelessly working to develop this technology with the hopes of using it to deeply explore patients' minds and help cure them of their psychological disorders.However, having access to the deepest corners of a person's mind comes with a tremendous responsibility. In the wrong hands, the DC Mini could be used as a form of psychological terrorism and cause mental breakdowns in the minds of targets. When this technology is stolen and people around them start acting strangely, Atsuko and Kosaku know they have a serious problem on their hands. Enlisting the help of Officer Konakawa, who has been receiving this experimental therapy, they search both the real and dream worlds for their mental terrorist.[Written by MAL Rewrite]", 1," Nov 25, 2006", 1 hr. 30 min.,https://cdn.myanimelist.net/images/anime/1929/93629.jpg
465,"Saiunkoku Monogatari 2nd Season
Tales of Saiunkoku",8.06," Adventure, Comedy, Drama, Fantasy, Historical, Romance", Madhouse, Light novel, Finished Airing, TV,"Shuurei Kou and her friend Eigetsu To, a boy prodigy of humble origins, have been appointed co-governors of the Sa province, one of the eight provinces in Saiunkoku. Together, they decide to make the province an academic research center in the hopes of bringing a long overdue prosperity to the region.However, while Shuurei goes to the capital to obtain approvals for the ambitious project, the Sa province's recently established tranquility is threatened by a pandemic that brings both death and turmoil as it begins to spread among the people. Counting on Eigetsu to monitor the situation until her return, Shuurei seeks support from her allies to find a suitable treatment. Yet, Eigetsu's past personal conflicts distract him, providing an opportunity for opponents of Shuurei's position to take advantage of the troubles and undermine her authority.Becoming a government official has been Shuurei's lifelong dream, but it is no easy task for the first woman undertaking such a position. Will she step up and overcome this great challenge or give in to the looming adversities?[Written by MAL Rewrite]", 39," Apr 7, 2007 to Mar 8, 2008", 25 min. per ep.,https://cdn.myanimelist.net/images/anime/5/73277.jpg
466,"Tsumiki no Ie
La Maison en Petits Cubes",8.06, Drama, Oh! Production, Original, Finished Airing, Movie,"In a flooded town where the waters are ever-rising, an old man must constantly build new floors onto his home in order to keep dry. But when his favorite smoking pipe falls into the watery abyss beneath him, he dives into the depths of not only his house, but memories of years past.Tsumiki no Ie is a short film about the everlasting effect of time on one's life—how it can swallow the past entirely, and how one must learn to continue moving forward despite what has already happened.[Written by MAL Rewrite]", 1," Jun 10, 2008", 12 min.,https://cdn.myanimelist.net/images/anime/13/13357.jpg
467,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.06," Comedy, Romance, School", feel., Light novel, Finished Airing, OVA,"After accepting a weekend invitation, Hachiman Hikigaya accompanies Isshiki Iroha around the Chiba Prefecture to brainstorm ideas suitable for an ideal date with Hayato Hayama. As the duo wanders from place to place without a plan, they seemingly enjoy each other's company. Yet, through these straightforward and sincere interactions, the meaning behind what it means to be genuine continues to intrigue Hachiman and his outlook for the future of the Volunteer Service Club and its members.[Written by MAL Rewrite]", 1," Oct 27, 2016", 23 min.,https://cdn.myanimelist.net/images/anime/13/84052.jpg
468,"Zombieland Saga: Revenge
Zombie Land Saga Revenge",8.06," Comedy, Music, Supernatural", MAPPA, Original, Finished Airing, TV,Second season of Zombieland Saga., 12," Apr 8, 2021 to Jun 24, 2021", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/1118/115156.jpg
469,Boku no Hero Academia the Movie 2: Heroes:Rising,8.06," Action, Super Power, Shounen", Bones, Manga, Finished Airing, Movie,"Izuku ""Deku'' Midoriya and his fellow students in Class 1-A of UA High's hero course have been chosen to participate in a safety program on Nabu Island. To further improve their skills and gain experience in more ordinary heroics, the students aid the kind citizens with small services and everyday chores. With the low crime rate in the quiet community, all seems well and good, but the rise of a new villain threatens to put the students' courage to the test and challenge their capabilities as heroes.A merciless villain by the name of Nine is in search of a certain ""quirk"" needed to fulfill his diabolical plan—creating a society where only those with the strongest quirks reign supreme. As his attack on Nabu Island endangers the lives of the residents, securing the citizens becomes the first priority for Class 1-A; defeating Nine along with his wicked accomplices is also imperative. A straightforward strategy is formulated until a young boy named Katsuma Shimano, whom Deku had befriended, suddenly requires particular protection. Concerned for the boy's wellbeing, Deku and his classmates must now devise a plan to ensure Katsuma's safety at all costs.With Nine wreaking havoc to find the catalyst for his ill-intended schemes and the heroes desperate to defend Katsuma from harm, will Deku and his friends be able to come out victorious, or will they find themselves unable to escape a hopeless situation?[Written by MAL Rewrite]", 1," Dec 20, 2019", 1 hr. 44 min.,https://cdn.myanimelist.net/images/anime/1019/103292.jpg
470,City Hunter 2,8.06," Action, Comedy, Mystery, Shounen", Sunrise, Manga, Finished Airing, TV,"Ryo Saeba is a ""sweeper"" know as the City Hunter. He and his sidekick Kaori Makimura are hired to solve problems that the police can't (or won't) handle. When he's not keeping the streets of Tokyo clean, Ryo is chasing the ladies, and Kaori chases after him with a giant anti-ecchi hammer.(Source: ANN)", 63," Apr 2, 1988 to Jul 14, 1989", 25 min. per ep.,https://cdn.myanimelist.net/images/anime/7/50523.jpg
471,Detective Conan Movie 10: Requiem of the Detectives,8.06," Adventure, Comedy, Mystery, Police, Shounen", TMS Entertainment, Manga, Finished Airing, Movie,"After receiving a strange invitation, Kogorou Mouri pays a visit to the Miracle Land theme park along with his daughter Ran, Conan Edogawa, and the Detective Boys. Once there, Kogorou and Conan are tasked with finishing an unsolved case by a mysterious stranger. Realizing that the invitations were actually an elaborate trap, the two have just 12 hours to solve the case or face grave danger.With the help of familiar faces like Heiji Hattori, Kaitou Kid, and even Saguru Hakuba, the group of detectives must unravel the web of clues surrounding the case in order to find the culprit and bring them to justice before it's too late.[Written by MAL Rewrite]", 1," Apr 15, 2006", 1 hr. 51 min.,https://cdn.myanimelist.net/images/anime/1919/94322.jpg
472,Evangelion: 1.0 You Are (Not) Alone,8.06," Action, Sci-Fi, Psychological, Drama, Mecha", Khara, Original, Finished Airing, Movie,"In a post-apocalyptic world, the last remaining human settlement in Japan is the heavily fortified city of Tokyo-3. Fourteen-year-old Shinji Ikari is brought to the headquarters of Nerv, an underground organization lead by his estranged father, Gendou. He requests that Shinji become a pilot of an ""Evangelion,"" a colossal android built to fight against monstrous and destructive alien creatures known as ""Angels"" that wreak havoc on the planet and threaten the survival of the remaining human race.Although initially reluctant, Shinji is swayed by the idea of reconciling with his father, and agrees to aid in mankind's perilous endeavor against its alien threat, as the pilot of Evangelion Unit-01. Thrust into the midst of a dangerous battlefield, Shinji must find the necessary courage and resolve to face against the Angels' incursions before it is too late.[Written by MAL Rewrite]", 1," Sep 1, 2007", 1 hr. 41 min.,https://cdn.myanimelist.net/images/anime/7/74975.jpg
473,"Eve no Jikan
Time of Eve",8.06," Sci-Fi, Slice of Life", Studio Rikka, Original, Finished Airing, ONA,"In future Japan, in a time when android housekeepers have become commonplace, society strictly abides by the Three Laws of Robotics, which all androids must follow. Under the influence of the Robot Ethics Committee, androids are treated the same way as lesser technology, such as household appliances. However, a minority with an adoration for androids exists, categorized as ""android-holics,"" and are shunned by the general public.Rikuo Sakisaka was raised to accept society's precept about androids, and is perfectly aware that they are not human. That is, until the day he discovers a strange message buried within the activity logs of his household android, Sammy. This leads him to Eve no Jikan, a cafe with only one rule that its patrons must adhere to: there must be no distinction made between humans and androids. Curiosity drives Rikuo to learn more about the shop, and he attempts to unearth the reason behind Sammy's peculiar behavior.[Written by MAL Rewrite]", 6," Aug 1, 2008 to Sep 18, 2009", 18 min. per ep.,https://cdn.myanimelist.net/images/anime/13/19480.jpg
474,Full Metal Panic? Fumoffu,8.06," Action, Comedy, School", Kyoto Animation, Light novel, Finished Airing, TV,"Sergeant Sousuke Sagara returns to Jindai High School to protect the precious war asset, Kaname Chidori, from any threat. However, his lack of social skills and real-life experience result in comical yet dangerous situations, endangering the peaceful school life Kaname longs for. As Sousuke continues to bring a wide range of weapons to school as a means to solve threats—real or fake—Kaname struggles to fulfill her duty as the student council vice president all while keeping him in check.To ensure a successful mission, Sousuke is occasionally forced to use the costume of a famous amusement park mascot called Bonta-kun. With his technical expertise, he eventually transforms the exuberant uniform into a cutting-edge exoskeleton that has only one dysfunction: the voice translator can only produce the sound ""mofu.""Full Metal Panic? Fumoffu depicts the adventures of Kaname and Sousuke as they try to live their normal school lives despite the chaos they inadvertently cause.[Written by MAL Rewrite]", 12," Aug 26, 2003 to Nov 18, 2003", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/4/75260.jpg
475,"Kara no Kyoukai 3: Tsuukaku Zanryuu
the Garden of sinners Chapter 3: Remaining Sense of Pain",8.06," Action, Mystery, Supernatural, Drama, Thriller", ufotable, Light novel, Finished Airing, Movie,"On a solemn night in July 1998, teenager Fujino Asagami is mercilessly raped by a street gang in a dilapidated bar. No matter what physical or sexual abuse they deal, however, the girl regards her captors with the same apathetic expression. The next day, mangled bodies are discovered in that same building, so torn apart that investigators find it infeasible to even consider the culprit human.Elsewhere, a client request reaches Touko Aozaki's detective agency, tasking Shiki Ryougi with either capturing or killing the perpetrator of last night's incident. But soon, word spreads that a single survivor escaped the slaughter, and now the murderer is plowing down everything in their path to locate and exterminate him. A brutal race against time begins, pitting Shiki against a dangerous foe imperceptible even to her legendary eyes.[Written by MAL Rewrite]", 1," Feb 9, 2008", 59 min.,https://cdn.myanimelist.net/images/anime/4/21735.jpg
476,Mairimashita! Iruma-kun 2nd Season,8.06," Comedy, Demons, Fantasy, School, Shounen, Supernatural", Bandai Namco Pictures, Manga, Currently Airing, TV,"After many trials and tribulations, Iruma Suzuki is finally happily living among demons despite having to hide his true identity as a human. Even more so, he has now found his ambition in life: keep ranking up in this world!However, that plan is halted when Iruma's club is temporarily dismissed, and he is forced to be part of the student council, known for its strictness toward rowdy students. Its cold-hearted president is Amelie Azazel, Iruma's friend. Although Iruma is not used to following their rigid schedule and many rules, he still wants to prove himself and help Amelie alongside all of the other members of the council.But trouble arises when Amelie's personality completely changes due to strange circumstances, putting the student council's reputation in jeopardy. Will Iruma be able to save them and avoid having the whole school turn into pure chaos?[Written by MAL Rewrite]", 21," Apr 17, 2021 to ?", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/1527/113656.jpg
477,Baby Steps 2nd Season,8.05," Sports, Romance, School, Shounen", Studio Pierrot, Manga, Finished Airing, TV,"After having decided to play tennis at the professional level, Eiichirou Maruo now needs to convince his parents to support his decision. To do so, he makes a wager: if he cannot win the All-Japan Junior Tennis Tournament, he will give up on his dream. However, he will need to improve his skills quickly if he wants to qualify for the tournament and have any chance of defeating the best players in the country. For this reason, his new coach Ryuuhei Aoi suggests that Eiichirou travel abroad to train at the Florida Tennis Academy.Baby Steps 2nd Season takes the action to America as Eiichirou begins his two-week training program, getting a taste of what tennis is like outside of Japan. With this exciting experience awaiting him, Eiichirou hopes that his training will get him closer to his goal of becoming a professional player.[Written by MAL Rewrite]", 25," Apr 5, 2015 to Sep 20, 2015", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/9/73683.jpg
478,Girls & Panzer: Saishuushou Part 2,8.05," Military, School", Actas, Original, Finished Airing, Movie,"The second film in the six-part Girls & Panzer: Saishuushou film series. Oorai team wins against the BC Academy team and moves onto the next round where they find themselves up against Chi-Ha Tan Academy. However, the Japanese-style school has changed up their strategy. How will Oorai react to this?", 1," Jun 15, 2019", 54 min.,https://cdn.myanimelist.net/images/anime/1559/96407.jpg
479,"Juuni Kokuki
The Twelve Kingdoms",8.05," Action, Adventure, Fantasy, Magic, Supernatural", Studio Pierrot, Novel, Finished Airing, TV,"Youko Nakajima has only ever wanted to be normal. She does what she is asked, gets good grades, is the class president, and even helps her classmates whenever she can—but because of her red hair, she has never fit in. With her pushover attitude, Youko lets classmates take advantage of her, so she has nobody she can really call a friend.But on an otherwise ordinary day, a man who claims to be from another world barges into Youko's classroom and bows before her. This elegant blond-haired man, Keiki, claims that Youko is his master and belongs on the throne of his kingdom. However, their first meeting is cut short as Keiki has been followed by otherworldly beasts called youma. He is able to escape with Youko into his own realm, but two other classmates—Ikuya Asano and Yuka Sugimoto—are caught up in the madness as well. Unfortunately, their troubles have only just begun, as the youma attack leaves them separated from Keiki. Alone in this strange new land, these ordinary students must learn to fend for themselves or die.[Written by MAL Rewrite]", 45," Apr 9, 2002 to Aug 30, 2003", 25 min. per ep.,https://cdn.myanimelist.net/images/anime/6/50859.jpg
480,"Kami nomi zo Shiru Sekai: Megami-hen
The World God Only Knows: Goddesses",8.05," Harem, Comedy, Supernatural, Romance, Shounen", Manglobe, Manga, Finished Airing, TV,"Having freed a myriad of women from the runaway spirits possessing their hearts, the ""God of Conquest"" Keima Katsuragi is confronted with a new task: find the Jupiter Sisters, the goddesses that sealed Old Hell in the past. Diana, the goddess that resides inside his childhood friend Tenri Ayukawa, explains that they have taken shelter in the hearts of the girls he had assisted previously. Moreover, once Diana and her sisters are reunited, their power can seal the runaway spirits away for good and relieve Keima of his exorcising duties. Though he is initially reluctant to get involved in yet another chore, everything changes when tragedy befalls one of the hosts.Discovering that the goddesses are being targeted by a mysterious organization known as Vintage, Keima is caught in a race against time to reunite the sisters and rescue the girl who has already fallen prey. With deeper resolve than ever before, Keima works together with demons Elsie and Haqua to recapture the hearts of the girls he had charmed in the past. However, the road ahead is a difficult one, as he is soon met with the consequences of his previous conquests.[Written by MAL Rewrite]", 12," Jul 9, 2013 to Sep 24, 2013", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/6/51949.jpg
481,"Kamisama Hajimemashita
Kamisama Kiss",8.05," Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo", TMS Entertainment, Manga, Finished Airing, TV,"High schooler Nanami Momozono has quite a few problems of late, beginning with her absentee father being in such extreme debt that they lose everything. Downtrodden and homeless, she runs into a man being harassed by a dog. After helping him, she explains her situation, and to her surprise, he offers her his home in gratitude. But when she discovers that said home is a rundown shrine, she tries to leave; however, she is caught by two shrine spirits and a fox familiar named Tomoe. They mistake her for the man Nanami rescued—the land god of the shrine, Mikage. Realizing that Mikage must have sent her there as a replacement god, Tomoe leaves abruptly, refusing to serve a human.Rather than going back to being homeless, Nanami immerses herself in her divine duties. But if she must keep things running smoothly, she will need the help of a certain hot-headed fox. In her fumbling attempt to seek out Tomoe, she lands in trouble and ends up sealing a contract with him. Now the two must traverse the path of godhood together as god and familiar; but it will not be easy, for new threats arise in the form of a youkai who wants to devour the girl, a snake that wants to marry her, and Nanami's own unexpected feelings for her new familiar.[Written by MAL Rewrite]", 13," Oct 2, 2012 to Dec 25, 2012", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/3/85429.jpg
482,"Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!
KonoSuba: God's Blessing on This Wonderful World! 2: God's blessing on this wonderful Art!",8.05," Magic, Adventure, Fantasy, Comedy, Supernatural", Studio Deen, Light novel, Finished Airing, OVA,"Kazuma meets a novice adventurer called Ran who claims to be Kazuma's fan. A quest is proposed to Kazuma and his party in front of Ran, so he accepts the quest to look good in front of his fan; after some convincing, they all go to fight the metal golem.(Source: Wikipedia)", 1," Jul 24, 2017", 28 min.,https://cdn.myanimelist.net/images/anime/1115/98517.jpg
483,Love Live! Superstar!!,8.05," Music, Slice of Life, School"," None found, add some", Other, Currently Airing, TV,"A new television anime series for the Love Live! franchise was announced by animation studio Sunrise on January 28, 2020. The tagline for the new anime reads, ""Watashi wo Kanaeru Monogatari. Hello!!! Love Live!""(Source: MAL News)", Unknown," Jul 11, 2021 to ?", Unknown,https://cdn.myanimelist.net/images/anime/1758/115692.jpg
