,Title,Rating,Genres,Volumes,Chapters,Status,Authors,Type,Synopsis,Published,Img_Url
90,"Kakukaku Shikajika
Blank Canvas: My So-Called Artist's Journey",8.57," Slice of Life, Josei", 5, 34, Finished," Higashimura, Akiko (Story & Art)", Manga,"Akiko Hayashi has soaring but strangely specific dreams: to make a successful manga debut while still in school, have her favorite actor star in its adaptation, and end up marrying him. However, she is far from having the motivation or skills to realize these hopes. When a friend introduces her to an unorthodox, backstreet art class taught by the strong-armed Kenzou Hidaka, called simply as ""sensei,"" Akiko decides to enroll, expecting an easy ride and an automatic improvement in her art skills. To her chagrin, what she gets is something else entirely—a tough, demanding, and uncompromising teacher with absolutely no interest in manga.But when Akiko takes up Sensei's challenge of an intense schedule, she comes to recognize how much he cares about his students and forms a close bond with him. With Sensei's guidance, Akiko learns what is necessary to become a successful mangaka as well as what it means to be an adult.[Written by MAL Rewrite]"," Nov 28, 2011 to Jan 28, 2015",https://cdn.myanimelist.net/images/manga/1/154270.jpg
91,Suzumiya Haruhi Series,8.56," Comedy, Drama, School, Sci-Fi, Supernatural", , , Publishing," Tanigawa, Nagaru (Story), Itou, Noizi (Art)", Light Novel,"As the students of Class 1-5 introduce themselves at the beginning of their high school careers, the cynical but otherwise fairly ordinary boy known as Kyon sits down, having just finished his piece. However, when the girl sitting behind him stands up to give her speech, the words she utters dumbfound the entire class. Proclaiming that she has no interest in ordinary humans and is in search of the supernatural, Haruhi Suzumiya makes her unforgettable debut.Doubting Haruhi's sincerity, Kyon lets his curiosity get the better of him and attempts to befriend her in spite of his classmates' warnings. Unfortunately, as the eccentric girl slowly opens up to him, Kyon realizes she is dead serious. Moreover, a conversation between the two sparks a dangerous idea in Haruhi's mind: since she is bored with the mundanity of the school's clubs, she should just create her own. With this, the SOS Brigade is born, and Kyon is quickly dragged into a life of absurdity.Taking over the Literary Club's room, Haruhi soon enlists three new members into her organization: the stoic Yuki Nagato, the timid Mikuru Asahina, and the supposedly mysterious transfer student Itsuki Koizumi. Having thrown together this group of students, Haruhi drags the squad around on adventures in search of the exciting and supernatural, much to Kyon's chagrin. However, he soon discovers that there is more to the new recruits than meets the eye, and that which Haruhi wishes for may be much closer than she realizes...[Written by MAL Rewrite]"," Jun 6, 2003 to ?",https://cdn.myanimelist.net/images/manga/1/186142.jpg
92,"Ohayou, Ibarahime
Wake Up, Sleeping Beauty",8.56," Romance, Shoujo", 6, 26, Finished," Morino, Megumi (Story & Art)", Manga,"Timid but hard-working high schooler Tetsu Misato takes up a job at his father's housekeeping agency, where he finds himself working at the mansion on the hill he always saw as a child. Deep in the back of the mansion lies a garden and a lone building, where the mysterious daughter of the house, Shizu Karasawa, lives in isolation.While cleaning near the building, Tetsu chances upon the enigmatic girl, and when he returns the next day, they quickly get to know each other. Shizu reveals to him that she is confined to the building due to an unknown illness afflicting her, and that she has had no human interaction for years.As they continue to meet, Tetsu's feelings toward Shizu develop—but when he realizes how he truly feels, he is faced with the true nature of her illness. Ohayou, Ibarahime follows Tetsu as he searches for the real Shizu underneath her supernatural condition—both for her sake and for the sake of his own feelings.[Written by MAL Rewrite]"," Nov 22, 2014 to May 24, 2017",https://cdn.myanimelist.net/images/manga/3/164641.jpg
93,Who Made Me a Princess,8.56," Comedy, Fantasy, Romance", , , Publishing," Plutus (Story), Spoon (Art)", Manhwa,"In the novel ""The Lovely Princess,"" the secondary character Athanasia de Alger Obelia is the most pitiful of all. Her mother died in childbirth and her father, Emperor Claude, never gave his daughter even an inch of love. Forever yearning for even the slightest bit of parental love, she was ultimately framed for a crime and executed by the orders of her beloved father.When a woman from modern-day Korea falls asleep with some sleeping pills, she later awakens in the infant body of Athanasia. Knowing the unenviable fate that awaits her, she resolves to remain out of her tyrannical father's sight so that she may never incur his wrath. However, fate isn't so kind, and she meets him at only five years of age. With her original plan tossed out of the window, she now aims to endear herself so much to her father that he would never dream to hurt her.However, as many work toward their own ends, her plan is thrown into chaos—Athanasia's biological ""sister"" Jennette Margarita longs for a family, high-ranking nobility vie for power, and a shadow from Claude's past threatens to destroy everything he holds dear.[Written by MAL Rewrite]"," Dec 20, 2017 to ?",https://cdn.myanimelist.net/images/manga/1/222587.jpg
94,Neon Genesis Evangelion,8.55," Action, Mystery, Drama, Mecha, Sci-Fi, Shounen, Psychological", 14, 97, Finished," Sadamoto, Yoshiyuki (Story & Art)", Manga,"In 1999, a meteorite crashed into Antarctica. The impact melted the continental ice mass and drastically raised sea levels, damaging the world's climate and causing the deaths of over half its population. Now in 2015, devastating creatures of unknown origin—referred to as ""Angels""—ravage what remains of the planet.In the heavily fortified city of Tokyo-3, 14-year-old Shinji Ikari is destined to halt the Angels' onslaught. Recruited by his father's secret organization NERV, Shinji is enlisted as a pilot of an Evangelion, a massive bioorganic android created solely to defeat the Angels.Suddenly with the weight of the world upon his shoulders, Shinji must find the courage and drive to stand up for the future—and himself. But as skirmishes between the Evangelions and Angels become recurrent, the horrifying truth of the world is slowly revealed.[Written by MAL Rewrite]"," Dec 26, 1994 to Jun 4, 2013",https://cdn.myanimelist.net/images/manga/1/145061.jpg
95,Baccano!,8.55," Action, Mystery, Fantasy", , , Publishing," Narita, Ryohgo (Story), Enami, Katsumi (Art)", Light Novel,"Aboard the Advenna Avis in 1711, a group of alchemists summon a demon in the hopes of gaining eternal life. The demon gives them an elixir of immortality and the method of ending their existence by ""devouring"" one another. Soon after, one among them begins to devour his companions. Realizing the danger posed by staying together, they scatter across the globe.Centuries later in 1930's America, a certain federal investigator tries his best to combat the rise of organized crime during Prohibition, send a particularly infuriating terrorist to Alcatraz, and catch an outrageous thief duo. Meanwhile, the transcontinental train, the Flying Pussyfoot, begins its trail of blood across the country.In 2002, a small group of the original Advenna Avis alchemists are on a journey to find the rest of their fellow immortals. However, there is one companion they did not expect to meet again.Seemingly unrelated events, from a sleepy Italian city in the early 1700's to a modern luxury cruise ship traveling across the Pacific, reveal themselves to be far more connected than anyone could imagine...(Source: Wikipedia, MAL Rewrite)"," Feb 10, 2003 to ?",https://cdn.myanimelist.net/images/manga/2/172736.jpg
96,"Otoyomegatari
A Bride's Story",8.55," Drama, Historical, Romance, Seinen", , , Publishing," Mori, Kaoru (Story & Art)", Manga,"It's the 19th century in a tribal town near the Caspian Sea, Central Asia. People lead simple lives along the Silk Road, believing in various customs and traditions as they have for many years. Amir Halgal is a beautiful 20-year-old woman skilled in archery, hunting, and horseback riding. She has come from a faraway village for an arranged marriage to a charming 12-year-old boy by the name of Karluk Eihon.Due to the large age difference, the relationship between Amir and Karluk is a little awkward initially. However, everyday interactions between the two allow them to develop feelings of love and respect for each other that eventually strengthen their bond. Otoyomegatari follows the daily lives and challenges of Amir and Karluk alongside various other couples across Central Asia, in a beautiful portrayal of the culture and traditions of the brides of the era.[Written by MAL Rewrite]"," Oct 14, 2008 to ?",https://cdn.myanimelist.net/images/manga/2/188950.jpg
97,Sakamichi no Apollon,8.55," Drama, Music, Romance, School, Slice of Life, Josei", 9, 45, Finished," Kodama, Yuki (Story & Art)", Manga,"Constantly transferring schools since childhood, Kaoru Nishimi has always been seen as a social outcast when he transfers due to his intellectual nature and wealthy background. But after moving to Kyushu for his first year of high school, things begin to change when Kaoru befriends the class president Ritsuko Mukae and, unexpectedly, the notorious school delinquent Sentarou Kawabuchi. While Kaoru is an honors student, Sentarou is constantly getting into fights and skipping class. However, these two opposites find a common ground in one thing—music.One day, Kaoru is invited by Ritsuko to visit her family's record store, where he finds Sentarou in the basement showcasing his skill in jazz drumming. Kaoru, being a classical pianist, knows nothing about jazz. But inspired by the performance, he begins to open his mind to the genre alongside Sentarou. The duo begin to practice in after-school jazz sessions in the record store's basement. As he spends more time improving his skills in jazz, Kaoru finds a person whom he can truly call his friend, and comes to learn the joys of playing music. Sakamichi no Apollon follows their story of friendship and love brought together by jazz.[Written by MAL Rewrite]"," Sep 28, 2007 to Jan 28, 2012",https://cdn.myanimelist.net/images/manga/3/62627.jpg
98,Chikan Otoko,8.55," Comedy, Drama, Romance, Slice of Life", , 21, Finished," Yokota, Takuma (Story & Art)", Manga,"Molester Man is a perverted, socially inept otaku who spends most of his time on the textboard 2ch. One day, on the way home from his part-time job, he is mistaken for a stalker and arrested. After clearing the misunderstanding, Molester Man learns that the girl, whom he subsequently refers to as Miss Understanding, was left traumatized by her stalker, so he offers his hand in the hope of dating her. However, exceeding his own expectations, he gradually becomes closer to Miss Understanding and her friends, the cheerful Kansai and the guileless Loli Jugs.[Written by MAL Rewrite]"," , 2004",https://cdn.myanimelist.net/images/manga/4/155148.jpg
99,"Shimanami Tasogare
Our Dreams at Dusk: Shimanami Tasogare",8.55," Drama, Slice of Life, Psychological, Seinen", 4, 23, Finished," Kamatani, Yuhki (Story & Art)", Manga,"At the peak of a steep hill, in the picturesque Onomichi town, stands a building with a lounge open to all. An unusual group of friendly people gathers there, each with their own stories to tell.Tasuku Kaname is a troubled high school student who is prepared to commit suicide because his classmates found out that he might be gay. As he questions his existence, the sight of a mysterious woman jumping off a nearby building leaves him utterly startled. He rushes to the scene only to discover her unharmed, soon learning that she is the owner of the aforementioned building, known to everyone as ""Anonymous.""Anonymous notices Tasuku's nervous temperament and offers him an ear if he is willing to share his problems. While speaking to her, he realizes that the most painful thing is his inability to accept his sexuality. Emotional and heartfelt, Shimanami Tasogare is a realistic take on the struggles of Tasuku among other lesbian, gay, bisexual, and transgender people in coming to terms with their selves.[Written by MAL Rewrite]"," Mar 6, 2015 to May 23, 2018",https://cdn.myanimelist.net/images/manga/2/174018.jpg
100,Jujutsu Kaisen,8.54," Action, Demons, Fantasy, Shounen, Supernatural", , , Publishing," Akutami, Gege (Story & Art)", Manga,"Hidden in plain sight, an age-old conflict rages on. Supernatural monsters known as ""Curses"" terrorize humanity from the shadows, and powerful humans known as ""Jujutsu"" sorcerers use mystical arts to exterminate them. When high school student Yuuji Itadori finds a dried-up finger of the legendary Curse Sukuna Ryoumen, he suddenly finds himself joining this bloody conflict.Attacked by a Curse attracted to the finger's power, Yuuji makes a reckless decision to protect himself, gaining the power to combat Curses in the process but also unwittingly unleashing the malicious Sukuna into the world once more. Though Yuuji can control and confine Sukuna to his own body, the Jujutsu world classifies Yuuji as a dangerous, high-level Curse who must be exterminated.Detained and sentenced to death, Yuuji meets Satoru Gojou—a teacher at Jujutsu High School—who explains that despite his imminent execution, there is an alternative for him. Being a rare vessel to Sukuna, if Yuuji were to die, then Sukuna would perish too. Therefore, if Yuuji were to consume the many other remnants of Sukuna, then Yuuji's subsequent execution would truly eradicate the malicious demon. Taking up this chance to make the world safer and live his life for a little longer, Yuuji enrolls in Jujutsu High, jumping headfirst into a harsh and unforgiving battlefield.[Written by MAL Rewrite]"," Mar 5, 2018 to ?",https://cdn.myanimelist.net/images/manga/3/210341.jpg
101,Look Back,8.54," Drama, Shounen, Slice of Life", , 1, Finished," Fujimoto, Tatsuki (Story & Art)", One-shot,"Fujino is a fourth grader who draws a manga strip for the school newspaper. Her art makes her the star of the class, but one day she's told that Kyomoto, a student who refuses to come to school, would also like to submit a manga for the paper...(Source: MANGA Plus)"," Jul 19, 2021",https://cdn.myanimelist.net/images/manga/2/248129.jpg
102,"Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen
Ascendance of a Bookworm",8.54, Fantasy, , , Publishing," Shiina, You (Art), Kazuki, Miya (Story)", Light Novel,"Motosu Urano, a book-loving college student who just got her Librarian certification and was supposed to enter the job of her dreams after graduation, was killed during a massive earthquake crushing her underneath a pile of her own massive collection of books.Wishing for reincarnation in order to read even more, she got reincarnated to a world with a low literacy level and very few books, limited only to the nobility of the world. As she reincarnated as 5-year-old daughter of a lowly soldier, Maine, no matter how much she wants to read, there is no way there are any books around. If there are no books then what do you do? You make them yourself of course... What her goal is, to become a librarian no matter what, and to live a life surrounded by books. For starters she begins from making them.(Source: MU, edited)"," Jan 25, 2015 to ?",https://cdn.myanimelist.net/images/manga/1/149552.jpg
103,Seishun Buta Yarou Series,8.53," Comedy, Romance, School", , , Publishing," Kamoshida, Hajime (Story), Mizoguchi, Keiji (Art)", Light Novel,"One day, in the library where Sakuta Azusagawa studies, he runs into an unexpected sight: a beautiful high school girl in a bunny outfit. She turns out to be Mai Sakurajima, a famous former actress and fellow student at Minegahara High. His surprise at seeing Mai wear such risqué attire in the library, however, is nothing compared to the shocking realization that he is the only one who can see her!Reminded of an event from his past, Sakuta offers to help Mai discover the reason behind her invisibility. Despite their initially contentious relationship, the two quickly become close: Mai and Sakuta learn to appreciate each other, and their friendship turns into a budding romance. This further fuels their determination to solve Mai's dilemma.While the investigation progresses, Sakuta attributes Mai's situation to an urban legend known as Adolescence Syndrome: strange phenomena occurring in youth, unexplained by science and often dismissed as delusion. With few promising results, Mai's predicament worsens to the point where being unseen is the least of her worries. Can Sakuta and Mai solve the mystery of her Adolescence Syndrome before she disappears completely?[Written by MAL Rewrite]"," Apr 10, 2014 to ?",https://cdn.myanimelist.net/images/manga/2/177502.jpg
104,Golden Kamuy,8.53," Action, Adventure, Historical, Seinen", , , Publishing," Noda, Satoru (Story & Art)", Manga,"Saichi Sugimoto is feared as the ""Immortal Sugimoto"" for his savagery on the battlefield during the Russo-Japanese war, but he is by no means a war hero. Sugimoto has been left to fend for himself after his release from the army for nearly killing a superior officer. Braving the rough terrain of Hokkaido, Sugimoto is now searching for gold in order to keep a promise to his lost brother-in-arms. His efforts have been fruitless for a long time until a mysterious traveler tells him of an urban legend that would rid him of all his troubles.According to the legend, a criminal stole the gold of the Ainu, the indigenous people of Hokkaido, and hid it away in a location that can only be found when a map—made not from pieces of parchment, but the tattooed skins of escaped convicts—is brought together.Upon meeting with a young Ainu girl, Asirpa, Sugimoto sets off in search of the tattooed prisoners, but many dangers await as soldiers and mercenaries seek the gold as well. Aided by Asirpa’s knowledge of the lands, the two of them depart to find the stolen Ainu gold in a journey of revenge, murder, and greed.[Written by MAL Rewrite]"," Aug 21, 2014 to ?",https://cdn.myanimelist.net/images/manga/3/149257.jpg
105,Chihayafuru,8.53," Drama, Game, Sports, Josei", , , Publishing," Suetsugu, Yuki (Story & Art)", Manga,"Always deemed inferior to her elder sister, the strong-willed yet aimless Chihaya Ayase has no dream of her own. In contrast to her, Taichi Mashima, the son of a surgeon, is gifted yet insecure as he is burdened by the heavy expectations of his strict mother, who wants him to be perfect in everything. However, the lives of Chihaya and Taichi soon change as they encounter Arata Wataya, the new transfer student in their class.Inspired by Arata's dream to become the best at competitive karuta—a card game based on the classic anthology of one hundred Japanese poets—Chihaya quickly falls in love with the game. Refusing to lose to the talented Arata, the prideful Taichi joins along and immerses himself in the game, aiming to one day surpass his fated rival. The three friends spend their childhood practicing karuta everyday, until certain circumstances force them to part with each other.A few years later, now in high school, the trio finds themselves reunited through the world of competitive karuta. Alongside their newfound comrades and rivals, they embark on a journey of self-discovery, friendship, and romance.[Written by MAL Rewrite]"," Dec 28, 2007 to ?",https://cdn.myanimelist.net/images/manga/2/135341.jpg
106,Diamond no Ace Act II,8.53," School, Shounen, Sports", , , Publishing," Terajima, Yuuji (Story & Art)", Manga,"Picking up the next year after the end of the fall tournament, Seidou High School baseball team battle it out with new and old faces as they begin their tournament run at Koshien."," Aug 19, 2015 to ?",https://cdn.myanimelist.net/images/manga/3/167576.jpg
107,Spirit Circle,8.53," Action, Adventure, Comedy, Drama, Romance, Supernatural, Seinen", 6, 45, Finished," Mizukami, Satoshi (Story & Art)", Manga,"Fuuta Okeya, a 14-year-old student, can see ghosts and wears a bandage on his left cheek to hide his striking birthmark. One day, a girl with a scar on her forehead named Kouko Ishigami, accompanied by a ghost of a tall and friendly man, transfers into his class.Fuuta quickly takes a liking to Kouko, wondering if it might be love at first sight. After waking up crying from a strange dream involving her, he feels a nostalgic connection to Kouko and becomes determined to befriend her. However, a chain of events forces Fuuta to reveal his birthmark to Kouko, to which she declares him to be the enemy of her life. A furious Kouko explains that the two are bound by reincarnation, and that Fuuta's birthmark is a curse she engraved on him in one of their past lives to recognize and eventually defeat him.Kouko brings out a circular object made of flames known as the ""spirit circle"" and attacks Fuuta, pushing him off a flight of stairs. As he falls, Fuuta is thrown back into the insight of one of his previous lives. Spirit Circle chronicles Fuuta's journey back and forth his several past lives as he gradually unravels the mysteries behind his apparent bad blood with Kouko.[Written by MAL Rewrite]"," May 30, 2012 to Mar 30, 2016",https://cdn.myanimelist.net/images/manga/2/161198.jpg
108,"Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch
Umineko WHEN THEY CRY Episode 7: Requiem of the Golden Witch",8.52," Mystery, Drama, Shounen, Supernatural, Psychological, Thriller", 9, 48, Finished," Mizuno, Eita (Art), Ryukishi07 (Story)", Manga,"Adaption on 07th Expansion's popular visual novel.This episode features a new detective, a man called Willard H. Wright, who will uncover several truths about Rokkenjima's murder mystery. We will also get to know Lion Ushiromiya, a mysterious new member of the Ushiromiya family."," Apr 13, 2011 to Mar 12, 2015",https://cdn.myanimelist.net/images/manga/2/151990.jpg
109,Tokyo Ghoul,8.52," Action, Mystery, Drama, Horror, Supernatural, Psychological, Seinen", 14, 144, Finished," Ishida, Sui (Story & Art)", Manga,"Lurking within the shadows of Tokyo are frightening beings known as ""ghouls,"" who satisfy their hunger by feeding on humans once night falls. An organization known as the Commission of Counter Ghoul (CCG) has been established in response to the constant attacks on citizens and as a means of purging these creatures. However, the problem lies in identifying ghouls as they disguise themselves as humans, living amongst the masses so that hunting prey will be easier. Ken Kaneki, an unsuspecting university freshman, finds himself caught in a world between humans and ghouls when his date turns out to be a ghoul after his flesh.Barely surviving this encounter after being taken to a hospital, he discovers that he has turned into a half-ghoul as a result of the surgery he received. Unable to satisfy his intense craving for human meat through conventional means, Kaneki is taken in by friendly ghouls who run a coffee shop in order to help him with his transition. As he begins what he thinks will be a peaceful new life, little does he know that he is about to find himself at the center of a war between his new comrades and the forces of the CCG, and that his new existence has caught the attention of ghouls all over Tokyo.[Written by MAL Rewrite]"," Sep 8, 2011 to Sep 18, 2014",https://cdn.myanimelist.net/images/manga/3/114037.jpg
110,No Game No Life,8.52," Comedy, Ecchi, Fantasy, Game, Supernatural", , , Publishing," Kamiya, Yuu (Story & Art)", Light Novel,"The internet is home to countless urban legends, but the most prominent is the mysterious gamer known only as ""Blank."" Behind breaking records in hundreds of games, Blank is just two shut-in NEET siblings: the manipulative 18-year-old Sora and the 11-year-old detached genius, Shiro. Together, they are an unbeatable duo with zero losses to their name.One day, the siblings receive an anonymous email challenging them to a chess game. Upon securing a flawless win, they are immediately summoned into a colorful alternate world. A playful boy named Tet, who introduces himself as the ""One True God,"" tells them that the world of Disboard has a unique system for resolving disputes—any and all disagreements are resolved through simple games. Furthermore, of the 16 races inhabiting the realm, humanity is ranked the lowest and least powerful, barely scraping by with a kingdom consisting of a single city.In a world that has yet to see war or bloodshed in centuries, Sora and Shiro quickly make a name for themselves as they set their eyes on an ambitious goal: to defeat Tet with their gaming wits and conquer this new world.[Written by MAL Rewrite]"," Apr 25, 2012 to ?",https://cdn.myanimelist.net/images/manga/2/188186.jpg
111,"Ouran Koukou Host Club
Ouran High School Host Club",8.52," Comedy, Drama, Romance, School, Shoujo, Harem, Gender Bender", 18, 87, Finished," Hatori, Bisco (Story & Art)", Manga,"At Ouran High School, an academy where only the children of the rich and powerful attend, there exists a club consisting of the most elite of the student body: the legendary Host Club. Within the club's room, six beautiful, bored boys spend their time entertaining equally beautiful and bored girls.Haruhi Fujioka, a poor scholarship student, has no interest in the Host Club—until she breaks a valuable vase in their clubroom. After being mistaken for a boy, Haruhi is forced by Kyouya Ootori to work for the Host Club to repay her debt. Tamaki Suou, the princely leader of the club, eagerly takes her under his wing to teach her the ways of the host.Things, however, are never quite so simple with the Host Club around. Even the most mundane events can turn into huge spectacles with the likes of prankster twins Hikaru and Kaoru Hitachiin, stoic Takashi Morinozuka, and sweet Mitsukuni ""Hunny"" Haninozuka. The crazy adventures of the Host Club are just beginning, and Haruhi must learn how to survive in the glitzy world of the hosts.[Written by MAL Rewrite]Note: The final volume contains a special bonus chapter where the group travels to Spain."," Jul 24, 2002 to Sep 24, 2010",https://cdn.myanimelist.net/images/manga/5/19240.jpg
112,"Hi no Tori (1967)
Phoenix",8.52," Drama, Fantasy, Historical, Romance, Sci-Fi, Shounen, Space, Supernatural, Psychological", 16, 19, Finished," Tezuka, Osamu (Story & Art)", Manga,"From time immemorial to the age of space colonization, there is one legend that has stayed unchanged in every history book—the tale of the immortal bird Phoenix. A being whose blood is said to grant eternal life or wisdom, the radiant figure ensures the continuation of sentient life in the universe as it oversees human civilizations and their development.Yet, mankind remains a slave to its habits; from happiness and sorrow, to wrath and love, a myriad of emotions continue to play an integral part of human life. Simultaneously, time and time again, certain beliefs and agendas persist over the centuries to disturb the fragile equilibrium of the world's preordained nature and principles. It appears that fate and its dynamic variables can manifest itself in many ways—and oftentimes exhibits a bizarre sense of humor...[Written by MAL Rewrite]
Note: This is an incomplete series due to Tezuka's death."," Jan , 1967 to Feb , 1988",https://cdn.myanimelist.net/images/manga/3/159419.jpg
113,"Kamisama Hajimemashita
Kamisama Kiss",8.52," Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural", 25, 154, Finished," Suzuki, Julietta (Story & Art)", Manga,"Nanami Momozono is a high schooler who has a lot on her plate. Her father had evaded his enormous gambling debts by escaping town, which resulted in his daughter being evicted by the debt collectors. As Nanami muses about her future, she runs into a man hanging onto a tree to escape a dog. She rescues him and tells him about her current situation, prompting the man to offer her his home. He believes that Nanami is more suited than him to be the ""Master"" of the house, and thus she takes him up on his offer.Upon arrival, however, Nanami discovers that said house is actually a dilapidated shrine. She is about to double back when a fox familiar and two shrine spirits stop her, mistaking her for their former master Mikage, the land god of the shrine. Upon realization, Tomoe—the fox familiar—leaves the shrine, refusing to serve Nanami. After a series of events leaves Nanami in grave danger, she summons Tomoe and seals a contract with him to earn his subservience. Now a human land god, Nanami must face new daunting tasks, menacing adversaries, and her handsome and hot-headed familiar.[Written by MAL Rewrite]"," Feb 20, 2008 to May 20, 2016",https://cdn.myanimelist.net/images/manga/1/167521.jpg
114,Bakemonogatari,8.52," Action, Comedy, Mystery, Drama, Romance, Shounen, Vampire, Supernatural", , , Publishing," Oh! Great (Art), NISIO, ISIN (Story)", Manga,"Koyomi Araragi is no stranger to the abnormal. During the spring break of his third year in high school, a fateful encounter with vampire Kiss-Shot Acerola-Orion Heart-Under-Blade turns him into a vampire himself. Thrust into the world of oddities, Araragi finds himself catching classmate Hitagi Senjougahara when she falls down the school stairs one day—but something is amiss. After being confronted by the girl in question, Araragi learns that her weight was stolen by a mythical crab. In spite of Senjougahara's blunt threats, he manages to convince her to let him help. In need of a solution to an abnormal problem, the two visit the mysterious Meme Oshino, a wanderer who saved Araragi from his vampirism.Bakemonogatari is a tale about the monsters that reside within everyone, but just how deep do they dwell in the people Araragi meets?[Written by MAL Rewrite]"," Mar 14, 2018 to ?",https://cdn.myanimelist.net/images/manga/2/210355.jpg
115,Tower of God,8.52," Action, Adventure, Mystery, Drama, Fantasy", , , Publishing, SIU (Story & Art), Manhwa,"Twenty-Fifth Bam had been alone his whole life until he met Rachel. Now, however, Rachel is set on climbing the Tower, and she is willing to leave Bam behind to do so. After Rachel disappears in a veil of light, Bam follows her, vowing to ascend the Tower in hopes of meeting her again.But the Tower is a dangerous place full of ancient secrets, fearsome monsters, and nefarious humans. Each floor is protected by an Administrator who puts the daring challengers through grueling tests that will push them to their limits.As he confronts Headon, the Administrator of the first floor, Bam learns that he is an ''Irregular,'' someone who was not chosen by the Tower but was able to enter it on his own, an extremely rare event inside the Tower. Regardless of this revelation, however, his path forward is clear. Be it wealth, power, glory, or even reuniting with Rachel, all desires will be realized at the top of the Tower.[Written by MAL Rewrite]"," Jul 5, 2010 to ?",https://cdn.myanimelist.net/images/manga/2/223694.jpg
116,Fruits Basket,8.51," Comedy, Drama, Romance, School, Shoujo, Supernatural", 23, 136, Finished," Takaya, Natsuki (Story & Art)", Manga,"Tooru Honda is an orphan with nowhere to go but a tent in the woods, until the Souma family takes her in. However, the Souma family is no ordinary family, and they hide a grave secret: when they are hugged by someone of the opposite gender, they turn into animals from the Chinese Zodiac!Now, Tooru must help Kyou and Yuki Souma hide their curse from their classmates, as well as her friends Arisa Uotani and Saki Hanajima. As she is drawn further into the mysterious world of the Soumas, she meets more of the family, forging friendships along the way.But this curse has caused much suffering; it has broken many Soumas. Despite this, Tooru may just be able to heal their hearts and soothe their souls.[Written by MAL Rewrite]"," Jul 18, 1998 to Nov 20, 2006",https://cdn.myanimelist.net/images/manga/2/155964.jpg
117,"Kidou Senshi Gundam: The Origin
Mobile Suit Gundam: The Origin",8.51," Action, Drama, Mecha, Sci-Fi, Shounen, Space, Military", 24, 112, Finished," Yasuhiko, Yoshikazu (Story & Art), Tomino, Yoshiyuki (Story)", Manga,"Zeon ace pilot, Commander Char Aznable, thought he could foil the Federation's plan to build a mobile suit by attacking their research base on colony Side 7. He was wrong. With a prototype already active, the besieged Federation forces strike back using their new weapon, the mobile suit Gundam, with devastating consequences. Amidst the fighting, young electronics wizard Amuro Ray is determined not to let his friends and family die in the crossfire. But what can one boy do to repel a squad of mobile suit-clad invaders?(Source: VIZ Media)"," Jun 25, 2001 to Jun 26, 2014",https://cdn.myanimelist.net/images/manga/1/151300.jpg
118,"Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch
Umineko WHEN THEY CRY Episode 5: End of the Golden Witch",8.51," Mystery, Drama, Fantasy, Horror, Magic, Shounen, Supernatural, Psychological, Thriller", 6, 27, Finished," Ryukishi07 (Story), Akitaka (Art)", Manga,"Manga adaption of 07th Expansion's popular visual novel.Now that Beatrice has become a shadow of her former self, Battler has to fight against Lamdbadelta, Bernkastel and Bernkastel's piece called Erika to save her."," Oct 22, 2010 to Nov 22, 2012",https://cdn.myanimelist.net/images/manga/1/76083.jpg
119,Koe no Katachi,8.50," Drama, School, Shounen", , 1, Finished," Ooima, Yoshitoki (Story & Art)", One-shot,"Elementary school student Shouya Ishida is creeped out when Shouko Nishimiya, a meek girl born with impaired hearing, transfers into his class. Following her arrival, Shouya and his friends begin to torment Shouko, making her the hapless target of ridicule and assault. The constant bullying turns school into a living hell for Shouko, where even the teachers remain indifferent to the situation.Koe no Katachi tells the heartbreaking story of Shouko falling victim to bullying, but also one of hope, remorse, and redemption.[Written by MAL Rewrite]"," Jan 8, 2011",https://cdn.myanimelist.net/images/manga/5/86737.jpg
120,Eyeshield 21,8.50," Action, Comedy, Shounen, Sports", 37, 333, Finished," Inagaki, Riichiro (Story), Murata, Yusuke (Art)", Manga,"Timid, diminutive, and frequently the target of bullies, Sena Kobayakawa has just enrolled at Deimon Private High School. When he angers a group of delinquents by refusing to act as their errand boy, he makes an incredibly speedy getaway, an ability he has developed through years of running from his tormentors.Youichi Hiruma—the demonic captain of the Deimon Devil Bats football team—happens to be nearby, and seeing Sena's ""golden legs"" at work, forcibly recruits him as a running back despite Sena's desire to be team manager instead. Made to don the number 21 jersey and a special helmet to hide his identity as a player, Sena becomes ""Eyeshield 21,"" the team's closely guarded secret weapon. Soon he realizes his love for the sport, and aims to help the Devil Bats reach the Christmas Bowl, the high school football championship.[Written by MAL Rewrite]"," Jul 23, 2002 to Jun 15, 2009",https://cdn.myanimelist.net/images/manga/2/165586.jpg
121,blanc,8.50," Drama, Shounen Ai, Slice of Life", 2, 12, Finished," Nakamura, Asumiko (Story & Art)", Manga,"The manga is the latest story that follows the lives of Rihito Sajou and Hikaru Kusakabe. In the new manga, Kusakabe is working to achieve his dream, while Sajou is studying in university. Both live their lives separately.(Source: ANN)"," Feb 28, 2018 to Sep 16, 2020",https://cdn.myanimelist.net/images/manga/2/239600.jpg
